Código del registro;Nombre del registro;Medio utilizado para obtener el dato, documento (certificado) y/o expediente;Identifique la institución que provee el dato, documento (certificado) y/o expediente que se solicita a los usuarios;Identifique el Documento (certificado) que solicita a los usuarios;Si no se encuentra en el listado, indique el nombre del dato, documento (certificado) y/o expediente que solicita a los usuarios;Identifique la Institución que provee el dato, documento (certificado) y/o expediente que se intercambia manualmente;Tipo de información que se intercambia manualmente;Identifique el documento (certificado) que se intercambia manualmente;Si no se Encuentra en el listado, indique el nombre del documento (certificado) que intercambia manualmente;Indique el nombre del dato que intercambia manualmente (separados por coma);Indique medio utilizado para interoperar electrónicamente;Seleccione institución que Provee el dato, documento (certificado) y/o expediente a través de la Red de Interoperabilidad del Estado;Seleccione el servicio web que consume a través de la Red de Interoperabilidad del Estado;Indique el nombre del Servicio web consumido a través de la Red de Interoperabilidad del Estado;Identifique la institución con la que interopera el dato, documento (certificado) y/o expediente;Indique el nombre del dato o set de datos que interopera
PT-SUB00039-00113;0100010108_DUPLICADO DE CONSTANCIA DE AUTORIZACION DE UN VEHICULO DE UN SERVICIO INSCRITO EN TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS (TTEPRIV);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificado de inscripción y anotaciones vigentes 
PT-SUB00039-00113;0100010108_DUPLICADO DE CONSTANCIA DE AUTORIZACION DE UN VEHICULO DE UN SERVICIO INSCRITO EN TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS (TTEPRIV);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de los poderes de los y/o las representantes legales.;;;;;;;;;;;
PT-SUB00039-00114;0100010149_CAMBIO DE PROPIETARIO EN PERMISO ORIGINARIO BILATERAL;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de anotaciones vigentes de vehículos motorizados (SRCeI);;;;;;;;;;;;
PT-SUB00039-00115;0100010025_MODIFICACION DE REPRESENTANTE(S) LEGAL(ES) DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cédula de Identidad;;;;;;;;;;;
PT-SUB00039-00115;0100010025_MODIFICACION DE REPRESENTANTE(S) LEGAL(ES) DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad.;;;;;;;;;;;
PT-SUB00039-00115;0100010025_MODIFICACION DE REPRESENTANTE(S) LEGAL(ES) DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de estatuto actualizado.;;;;;;;;;;;
PT-SUB00039-00115;0100010025_MODIFICACION DE REPRESENTANTE(S) LEGAL(ES) DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones de la correspondiente persona jurídica;;;;;;;;;;;
PT-SUB00039-00115;0100010025_MODIFICACION DE REPRESENTANTE(S) LEGAL(ES) DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de los y/o las representantes legales.;;;;;;;;;;;
PT-SUB00039-00116;0100010043_MODIFICACION DE UBICACION DE OFICINAS DE VENTAS DE PASAJES DE SERVICIOS INTERURBANOS DE LOCOMOCION COLECTIVA INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de Vigencia;;;;;;;;;;;
PT-SUB00039-00116;0100010043_MODIFICACION DE UBICACION DE OFICINAS DE VENTAS DE PASAJES DE SERVICIOS INTERURBANOS DE LOCOMOCION COLECTIVA INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones de la correspondiente persona jurídica;;;;;;;;;;;
PT-SUB00039-00116;0100010043_MODIFICACION DE UBICACION DE OFICINAS DE VENTAS DE PASAJES DE SERVICIOS INTERURBANOS DE LOCOMOCION COLECTIVA INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad;;;;;;;;;;;
PT-SUB00039-00116;0100010043_MODIFICACION DE UBICACION DE OFICINAS DE VENTAS DE PASAJES DE SERVICIOS INTERURBANOS DE LOCOMOCION COLECTIVA INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de los y/o las representantes legales;;;;;;;;;;;
PT-SUB00039-00118;0100010097_MODIFICACION DE INFORMACION DEL RESPONSABLE DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad.;;;;;;;;;;;
PT-SUB00039-00118;0100010097_MODIFICACION DE INFORMACION DEL RESPONSABLE DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de los y/o las representantes legales.;;;;;;;;;;;
PT-SUB00039-00118;0100010097_MODIFICACION DE INFORMACION DEL RESPONSABLE DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de estatuto actualizado.;;;;;;;;;;;
PT-SUB00039-00118;0100010097_MODIFICACION DE INFORMACION DEL RESPONSABLE DE UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones, de la correspondiente persona jurídica;;;;;;;;;;;
PT-SUB00039-00120;0100010150_CAMBIO DE PROPIETARIO EN PERMISO PERMANENTE PAIS / PAIS;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de anotaciones vigentes de vehículos motorizados (SRCeI);;;;;;;;;;;;
PT-SUB00039-00124;0100010134_LISTADO DE FLOTA DE SERVICIOS INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de sociedad;;;;;;;;;;;
PT-SUB00039-00124;0100010134_LISTADO DE FLOTA DE SERVICIOS INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de estatuto actualizado;;;;;;;;;;;
PT-SUB00039-00124;0100010134_LISTADO DE FLOTA DE SERVICIOS INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones, de la correspondiente persona jurídica;;;;;;;;;;;
PT-SUB00039-00124;0100010134_LISTADO DE FLOTA DE SERVICIOS INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de representantes legales.;;;;;;;;;;;
PT-SUB00039-00125;0100010127_INCORPORACION, ELIMINACION O MODIFICACION DE CONDUCTOR EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;cédula de identidad;;;;;;;;;;;
PT-SUB00039-00125;0100010127_INCORPORACION, ELIMINACION O MODIFICACION DE CONDUCTOR EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Registro de Comercio;;;;;;;;;;;
PT-SUB00039-00125;0100010127_INCORPORACION, ELIMINACION O MODIFICACION DE CONDUCTOR EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de sociedad;;;;;;;;;;;
PT-SUB00039-00125;0100010127_INCORPORACION, ELIMINACION O MODIFICACION DE CONDUCTOR EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de estatuto actualizado;;;;;;;;;;;
PT-SUB00039-00125;0100010127_INCORPORACION, ELIMINACION O MODIFICACION DE CONDUCTOR EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de los y/o las representante legales;;;;;;;;;;;
PT-SUB00039-00125;0100010127_INCORPORACION, ELIMINACION O MODIFICACION DE CONDUCTOR EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones de la correspondiente persona jurídica;;;;;;;;;;;
PT-SUB00039-00126;0100010111_CERTIFICADO PARA OBTENER REVISION TECNICA DE UN VEHICULO INSCRITO O A INSCRIBIR EN UN SERVICIO EN EL RENASTRE;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad.;;;;;;;;;;;
PT-SUB00039-00126;0100010111_CERTIFICADO PARA OBTENER REVISION TECNICA DE UN VEHICULO INSCRITO O A INSCRIBIR EN UN SERVICIO EN EL RENASTRE;No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de los y/o las representantes legales.;;;;;;;;;;;
PT-SUB00039-00126;0100010111_CERTIFICADO PARA OBTENER REVISION TECNICA DE UN VEHICULO INSCRITO O A INSCRIBIR EN UN SERVICIO EN EL RENASTRE;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de estatuto actualizado;;;;;;;;;;;
PT-SUB00039-00126;0100010111_CERTIFICADO PARA OBTENER REVISION TECNICA DE UN VEHICULO INSCRITO O A INSCRIBIR EN UN SERVICIO EN EL RENASTRE;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones de la correspondiente persona jurídica;;;;;;;;;;;
PT-SUB00039-00126;0100010111_CERTIFICADO PARA OBTENER REVISION TECNICA DE UN VEHICULO INSCRITO O A INSCRIBIR EN UN SERVICIO EN EL RENASTRE;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificado de anotaciones vigentes del vehículo
PT-SUB00039-00128;0100010004_APROBACION DE PLANES Y PROGRAMAS ESCUELAS NO PROFESIONALES DE CONDUCTORES (ECNP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de Vigencia de Sociedad;;;;;;;;;;;
PT-SUB00039-00128;0100010004_APROBACION DE PLANES Y PROGRAMAS ESCUELAS NO PROFESIONALES DE CONDUCTORES (ECNP);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
PT-SUB00039-00128;0100010004_APROBACION DE PLANES Y PROGRAMAS ESCUELAS NO PROFESIONALES DE CONDUCTORES (ECNP);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado Hoja de vida del conductor (SRCeI);;;;;;;;;;;;
PT-SUB00039-00128;0100010004_APROBACION DE PLANES Y PROGRAMAS ESCUELAS NO PROFESIONALES DE CONDUCTORES (ECNP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Educación;Certificado de título de educación media técnico-profesional (Ministerio de Educación);;;;;;;;;;;;
PT-SUB00039-00128;0100010004_APROBACION DE PLANES Y PROGRAMAS ESCUELAS NO PROFESIONALES DE CONDUCTORES (ECNP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Educación;Licencia de enseñanza Media (Ministerio de Educación);;;;;;;;;;;;
PT-SUB00039-00128;0100010004_APROBACION DE PLANES Y PROGRAMAS ESCUELAS NO PROFESIONALES DE CONDUCTORES (ECNP);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de anotaciones vigentes de vehículos motorizados (SRCeI);;;;;;;;;;;;
PT-SUB00039-00129;0100010027_CAMBIO O MODIFICACION DE RECORRIDOS, TRAZADOS O ITINERARIOS CON O SIN CAMBIO DE TERMINAL, EN SERVICIOS DE LOCOMOCION COLECTIVA INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cédula de Identidad;;;;;;;;;;;
PT-SUB00039-00129;0100010027_CAMBIO O MODIFICACION DE RECORRIDOS, TRAZADOS O ITINERARIOS CON O SIN CAMBIO DE TERMINAL, EN SERVICIOS DE LOCOMOCION COLECTIVA INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad;;;;;;;;;;;
PT-SUB00039-00129;0100010027_CAMBIO O MODIFICACION DE RECORRIDOS, TRAZADOS O ITINERARIOS CON O SIN CAMBIO DE TERMINAL, EN SERVICIOS DE LOCOMOCION COLECTIVA INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de estatuto actualizado;;;;;;;;;;;
PT-SUB00039-00129;0100010027_CAMBIO O MODIFICACION DE RECORRIDOS, TRAZADOS O ITINERARIOS CON O SIN CAMBIO DE TERMINAL, EN SERVICIOS DE LOCOMOCION COLECTIVA INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de los y/o las representantes legales;;;;;;;;;;;
PT-SUB00039-00129;0100010027_CAMBIO O MODIFICACION DE RECORRIDOS, TRAZADOS O ITINERARIOS CON O SIN CAMBIO DE TERMINAL, EN SERVICIOS DE LOCOMOCION COLECTIVA INSCRITOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones de la correspondiente persona jurídica;;;;;;;;;;;
PT-SUB00039-00130;0100010078_PERMISO PERMANENTE PAIS / PAIS;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificados de Anotaciones Vehiculares
PT-SUB00039-00130;0100010078_PERMISO PERMANENTE PAIS / PAIS;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cedula de identidad;;;;;;;;;;;
PT-SUB00039-00131;0100010095_REINSCRIPCION DE VEHICULOS EN UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP), QUE PROVIENEN DE UN TRASLADO DE REGION O DE UN TRASLADO DE SERVICIO EN LA MISMA REGION;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificado de anotaciones vigentes de vehículos motorizados (SRCeI)
PT-SUB00039-00131;0100010095_REINSCRIPCION DE VEHICULOS EN UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP), QUE PROVIENEN DE UN TRASLADO DE REGION O DE UN TRASLADO DE SERVICIO EN LA MISMA REGION;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificado de inscripción de vehículos motorizados (padrón)
PT-SUB00039-00131;0100010095_REINSCRIPCION DE VEHICULOS EN UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP), QUE PROVIENEN DE UN TRASLADO DE REGION O DE UN TRASLADO DE SERVICIO EN LA MISMA REGION;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Solicitud de primera inscripción o de transferencia;;;;;;;;;;;
PT-SUB00039-00132;0100010099_CANCELACION DEFINITIVA DE UN VEHICULO INSCRITO EN UN SERVICIO (POR REEMPLAZO, ANTIGUEDAD, ENTRE OTROS) EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Solicitud de Transferencia de Vehículos
PT-SUB00039-00132;0100010099_CANCELACION DEFINITIVA DE UN VEHICULO INSCRITO EN UN SERVICIO (POR REEMPLAZO, ANTIGUEDAD, ENTRE OTROS) EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de los y/o las representantes legales.;;;;;;;;;;;
PT-SUB00039-00132;0100010099_CANCELACION DEFINITIVA DE UN VEHICULO INSCRITO EN UN SERVICIO (POR REEMPLAZO, ANTIGUEDAD, ENTRE OTROS) EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad.;;;;;;;;;;;
PT-SUB00039-00132;0100010099_CANCELACION DEFINITIVA DE UN VEHICULO INSCRITO EN UN SERVICIO (POR REEMPLAZO, ANTIGUEDAD, ENTRE OTROS) EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de estatuto actualizado.;;;;;;;;;;;
PT-SUB00039-00132;0100010099_CANCELACION DEFINITIVA DE UN VEHICULO INSCRITO EN UN SERVICIO (POR REEMPLAZO, ANTIGUEDAD, ENTRE OTROS) EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones, de la correspondiente persona jurídica;;;;;;;;;;;
PT-SUB00039-00132;0100010099_CANCELACION DEFINITIVA DE UN VEHICULO INSCRITO EN UN SERVICIO (POR REEMPLAZO, ANTIGUEDAD, ENTRE OTROS) EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificado de anotaciones vigentes del vehículo
PT-SUB00039-00133;0100010003_OTRAS CANCELACIONES TEMPORALES DE UN VEHICULO INSCRITO EN UN SERVICIO (VOLUNTARIA, POR NORMAS REGIONALES, ENTRE OTRAS) EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad.;;;;;;;;;;;
PT-SUB00039-00133;0100010003_OTRAS CANCELACIONES TEMPORALES DE UN VEHICULO INSCRITO EN UN SERVICIO (VOLUNTARIA, POR NORMAS REGIONALES, ENTRE OTRAS) EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de Estatuto Actualizado;;;;;;;;;;;
PT-SUB00039-00133;0100010003_OTRAS CANCELACIONES TEMPORALES DE UN VEHICULO INSCRITO EN UN SERVICIO (VOLUNTARIA, POR NORMAS REGIONALES, ENTRE OTRAS) EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones de la correspondiente persona jurídica, otorgado según el artículo 29 del Decreto Supremo (DS) Nº 45, de 2013, del Ministerio de Economía, Fomento y Turismo;;;;;;;;;;;
PT-SUB00039-00133;0100010003_OTRAS CANCELACIONES TEMPORALES DE UN VEHICULO INSCRITO EN UN SERVICIO (VOLUNTARIA, POR NORMAS REGIONALES, ENTRE OTRAS) EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia y cédula de identidad de los y/o las representantes legales.;;;;;;;;;;;
PT-SUB00039-00133;0100010003_OTRAS CANCELACIONES TEMPORALES DE UN VEHICULO INSCRITO EN UN SERVICIO (VOLUNTARIA, POR NORMAS REGIONALES, ENTRE OTRAS) EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificado de anotaciones vigentes del vehículo
PT-SUB00039-00134;0100010109_MODIFICACION DE REPRESENTANTE(S) LEGAL(ES) EN UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones de la correspondiente persona jurídica, otorgado según el artículo 29 del Decreto Supremo (DS) Nº 45, de 2013, del Ministerio de Economía, Fomento y Turismo;;;;;;;;;;;
PT-SUB00039-00134;0100010109_MODIFICACION DE REPRESENTANTE(S) LEGAL(ES) EN UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de Estatuto Actualizado;;;;;;;;;;;
PT-SUB00039-00134;0100010109_MODIFICACION DE REPRESENTANTE(S) LEGAL(ES) EN UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de vigencia de persona jurídica (SRCeI);;;;;;;;;;;;
PT-SUB00039-00134;0100010109_MODIFICACION DE REPRESENTANTE(S) LEGAL(ES) EN UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad.;;;;;;;;;;;
PT-SUB00039-00134;0100010109_MODIFICACION DE REPRESENTANTE(S) LEGAL(ES) EN UN SERVICIO INSCRITO EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE REMUNERADO DE ESCOLARES (RENASTRE);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de los poderes de los representantes legales.;;;;;;;;;;;
PT-SUB00039-00135;0100010112_CERTIFICADO PARA OBTENER REVISION TECNICA DE UN VEHICULO INSCRITO O POR INSCRIBIR EN TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS - (AUTORIZACION GENERAL);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Inscripción en el Registro de Comercio;;;;;;;;;;;
PT-SUB00039-00135;0100010112_CERTIFICADO PARA OBTENER REVISION TECNICA DE UN VEHICULO INSCRITO O POR INSCRIBIR EN TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS - (AUTORIZACION GENERAL);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad.;;;;;;;;;;;
