servicio,nombre,soporte_usuario_dia,n_usuarios_distintos_control
a4b6a99bdf274e679d55747b64987bc5,SIPA DGAC - Dirección General de Aeronáutica Civil,101162,23854
8c2eff865c5f40dbae0d6ccbc47e1d9c,Direccion del Trabajo - DIRECCION DEL TRABAJO,100264,2279
e5b8388e1275417395d526c566b0e1e8,Servicio Nacional de Aduanas - Servicio Nacional de Aduanas,99678,33438
26ce850e25c04398a2da12f4478e7597,Registro de profesionales - Subsecretaría de Educación,99531,42486
856e64720e4f47afa86454cee150efd5,Superintendencia de Educación Superior - Superintendencia de educacion superior,98116,18162
d6d4327ae40445518a3c8a6e62137cd6,Gobierno Digital Simple - Secretaría de Gobierno Digital,96260,37539
6f7b8ef5a7204c4b92d0ca778317d790,Gestor documental ZeCeroPapel - Servicio Nacional de Protección Especializada a la Niñez y Adolescencia,95941,3160
888fb026b62d4a75920fe44a0af43ad4,Subsecretaría de Transportes - Subsecretaría de Transportes,93356,38188
ac7a1bf135744666be846c5bffff7cc8,Servicio de Evaluacion Ambiental - SERVICIO DE EVALUACION AMBIENTAL,93347,31037
3752375735a74ae09881a820a0b7d394,Solicitud de Pasavantes Online - Servicio Nacional de Aduanas,93120,30169
e1669d0517f14a979d9a93159b4906b0,Agenda Casino - Presidencia de la República,92061,1127
f96bf82e56594a91b22b01e54f9608ed,Portal Paciente SSMO - Servicio de Salud Metropolitano Oriente,91313,30993
4bea51c8732a4b6d84a0f98b123d07c7,Autentificación de Honorarios Maipu - Municipalidad de Maipú,90132,5180
be46b88bd9c44871b3069ca77e9263c4,Mercado Público D. Jurada - Dirección de Compras y Contratación Pública,85175,73063
e6bf7c58bb194e02a900c24c8f3d7c5a,Escuela PDI - Policía de Investigaciones de Chile,84928,25146
e9c87bd5f69f4f86afe073f6e04f7d5b,Fondo Nacional - Ministerio del Interior,84261,15827
025eebbc74ba4738b90c87e459ea29de,Dom Digital Muni Coquimbo - Municipalidad de Coquimbo,83459,8801
ea62071feb644e4e81394dfa5c500ff3,DIPRECA2 - Dirección de Previsión de Carabineros de Chile,83322,37531
ac8fac68f21540539f02e8fd2a44f651,CapacitaSII - Servicio de Impuestos Internos,81732,40257
8c4b94e7835b495e90eeca57d62cd1ff,Intranet SEIM - Subsecretaría de Transportes,80753,3872
0e11736fc9c24dbea92c4f3a6453a160,,80294,40581
465d39a118f84dcca1751c69cccc4f3f,HJNC Virtual - Hospital Regional de Arica y Parinacota Dr. Juan Noé Crevani,79718,16956
